MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y
1,Huskies,Huskies_D1,Huskies_F1,1H,46.323501,Head pass,34,97,59,95
1,Huskies,Huskies_M1,Huskies_F2,1H,51.022546,Simple pass,53,89,69,91
1,Opponent1,Opponent1_D2,Opponent1_G1,1H,89.008721,Simple pass,19,16,5,50
1,Opponent1,Opponent1_G1,Opponent1_F1,1H,92.21616,Launch,5,50,67,44
1,Huskies,Huskies_M2,Huskies_M3,1H,98.265191,Simple pass,42,55,36,54
1,Opponent1,Opponent1_D1,Opponent1_F2,1H,109.025545,Simple pass,30,11,31,22
1,Opponent1,Opponent1_F2,Opponent1_D2,1H,111.025997,Simple pass,31,22,27,23
1,Opponent1,Opponent1_D2,Opponent1_M1,1H,112.856148,High pass,27,23,36,6
1,Huskies,Huskies_D1,Huskies_F1,1H,130.65653,Head pass,34,91,52,97
1,Opponent1,Opponent1_F2,Opponent1_D3,1H,151.85275,Simple pass,48,12,46,56
1,Opponent1,Opponent1_D3,Opponent1_M2,1H,154.636116,Simple pass,46,56,56,68
1,Huskies,Huskies_D1,Huskies_G1,1H,161.22147,Simple pass,14,65,11,50
1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Hand pass,11,50,5,45
1,Huskies,Huskies_D1,Huskies_D2,1H,247.469049,Simple pass,17,92,22,62
1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Simple pass,22,62,19,24
1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Simple pass,19,24,8,45
1,Huskies,Huskies_G1,Huskies_D3,1H,257.295203,Simple pass,8,45,19,13
1,Huskies,Huskies_D3,Huskies_G1,1H,259.614989,Simple pass,19,13,12,38
1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Simple pass,48,50,55,24
1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Simple pass,55,24,60,5
1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Simple pass,60,5,33,21
1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Simple pass,33,21,15,70
1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,High pass,15,70,60,99
1,Opponent1,Opponent1_M1,Opponent1_D1,1H,318.875721,Simple pass,55,12,62,9
1,Huskies,Huskies_D1,Huskies_M3,1H,325.77883,Simple pass,19,98,35,86
1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Simple pass,35,86,30,97
1,Huskies,Huskies_M2,Huskies_D3,1H,349.651805,Simple pass,47,59,47,27
1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Simple pass,47,27,45,40
1,Huskies,Huskies_M3,Huskies_D3,1H,354.424746,Simple pass,45,40,47,12
1,Opponent1,Opponent1_D4,Opponent1_M3,1H,380.02212,Simple pass,19,68,27,65
1,Opponent1,Opponent1_M3,Opponent1_D3,1H,380.840808,Simple pass,27,65,27,90
1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Hand pass,8,55,25,94
1,Huskies,Huskies_D1,Huskies_D2,1H,395.609802,Simple pass,25,94,24,55
1,Huskies,Huskies_D2,Huskies_D3,1H,398.392099,Simple pass,24,55,24,20
1,Huskies,Huskies_D3,Huskies_M2,1H,401.473688,Simple pass,24,20,33,20
1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Simple pass,33,20,33,35
1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103,Simple pass,33,35,24,24
1,Huskies,Huskies_D3,Huskies_D2,1H,405.513278,Simple pass,24,24,29,68
1,Huskies,Huskies_D2,Huskies_D1,1H,409.395151,Simple pass,29,68,25,88
1,Huskies,Huskies_D1,Huskies_M1,1H,411.012684,Simple pass,25,88,31,99
1,Huskies,Huskies_M1,Huskies_D1,1H,413.899208,Simple pass,31,99,27,88
1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Simple pass,27,88,29,53
1,Huskies,Huskies_D2,Huskies_D3,1H,417.778381,Simple pass,29,53,37,14
1,Huskies,Huskies_D3,Huskies_M2,1H,421.153644,Simple pass,37,14,42,16
1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Simple pass,42,16,36,54
1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Simple pass,36,54,32,85
1,Huskies,Huskies_D1,Huskies_F2,1H,429.550573,Simple pass,32,85,59,67
1,Opponent1,Opponent1_M3,Opponent1_F2,1H,432.039458,Simple pass,42,30,47,50
1,Opponent1,Opponent1_F2,Opponent1_D3,1H,435.131832,Simple pass,47,50,41,54
1,Opponent1,Opponent1_D3,Opponent1_G1,1H,437.284701,Simple pass,41,54,14,55
1,Opponent1,Opponent1_G1,Opponent1_D3,1H,440.931405,Simple pass,14,55,36,85
1,Opponent1,Opponent1_D3,Opponent1_M3,1H,446.42999,Simple pass,36,85,41,70
1,Opponent1,Opponent1_M3,Opponent1_D2,1H,448.823337,Simple pass,41,70,51,13
1,Opponent1,Opponent1_D2,Opponent1_D1,1H,452.249359,High pass,51,13,84,12
1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Simple pass,38,74,23,81
1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Simple pass,23,81,33,56
1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Simple pass,33,56,31,16
1,Huskies,Huskies_D3,Huskies_D2,1H,478.063252,Simple pass,31,16,35,59
1,Huskies,Huskies_D2,Huskies_M3,1H,483.459683,Simple pass,35,59,37,42
1,Huskies,Huskies_M3,Huskies_D2,1H,486.904146,Simple pass,37,42,41,84
1,Huskies,Huskies_D2,Huskies_M1,1H,488.642046,Simple pass,41,84,49,97
1,Huskies,Huskies_M1,Huskies_D1,1H,492.913649,Simple pass,49,97,40,86
1,Huskies,Huskies_D1,Huskies_D2,1H,495.203497,Simple pass,40,86,43,46
1,Huskies,Huskies_D2,Huskies_D3,1H,499.177369,Simple pass,43,46,44,13
1,Opponent1,Opponent1_F3,Opponent1_F2,1H,504.396917,Simple pass,54,84,55,48
